STATE,INJURIES,DEATHS,MATERIAL_DAMAGE
VERMONT,3,4,8093000
SOUTH DAKOTA,104,10,10840500
IOWA,29,7,48326600
DISTRICT OF COLUMBIA,2,0,10545000
KANSAS,18,6,56050650
FLORIDA,234,38,98719150
VIRGINIA,25,16,221954700
NORTH CAROLINA,263,29,438912501.08
HAWAII,10,3,16614000
GEORGIA,35,2,19150950
CALIFORNIA,55,25,76795500
ALABAMA,116,16,31193500
IDAHO,3,2,51136000
WEST VIRGINIA,2,12,101616700
DELAWARE,8,0,4300000
ALASKA,27,1,11538000
ILLINOIS,106,19,172294500
CONNECTICUT,7,5,12918000
TENNESSEE,24,3,17395900
NEW MEXICO,6,9,6533000
PUERTO RICO,0,3,85000
OHIO,50,17,85045100
MARYLAND,169,6,108393000
MASSACHUSETTS,77,2,63957200
MISSISSIPPI,45,5,30401270
COLORADO,62,11,23564800.12
MONTANA,3,9,2399400
NEW JERSEY,15,9,114580000
UTAH,126,4,10027200
MICHIGAN,13,7,46046700
WYOMING,5,1,11997300
WASHINGTON,34,13,63907500
MINNESOTA,29,6,60905500
OREGON,37,15,58370000.4
NEW HAMPSHIRE,7,6,12893000
SOUTH CAROLINA,20,19,19854800
INDIANA,35,6,33115010
NEVADA,6,1,1013500
LOUISIANA,51,8,25144600
NEBRASKA,28,6,53358300
ARIZONA,53,0,3418500.1
WISCONSIN,140,13,102730200
NORTH DAKOTA,6,7,20192500
PENNSYLVANIA,52,37,435072300.1
OKLAHOMA,16,16,7721020
KENTUCKY,77,5,59998000.1
RHODE ISLAND,0,0,750000
NEW YORK,95,23,297485700
ARKANSAS,169,12,29327170.3
MISSOURI,90,14,45443860
TEXAS,102,33,350715570.2
MAINE,11,1,33142000
