STATE,UNIFIED_DEMAGE
WISCONSIN,1083112850
MONTANA,117075600
NEW JERSEY,1586046000
OREGON,301274300.4
NEBRASKA,463893200
TENNESSEE,962153180
NEW MEXICO,109998801.5
MISSOURI,1453935540
MARYLAND,876879400
LOUISIANA,953365750
VIRGIN ISLANDS,28995000
ATLANTIC SOUTH,0
MISSISSIPPI,1056901030
AMERICAN SAMOA,1670000
MICHIGAN,925658500
WYOMING,192798700
ALASKA,87730500
NORTH CAROLINA,1870329834.08
VIRGINIA,833415400
CONNECTICUT,71381500
ARKANSAS,1751784440.3
WEST VIRGINIA,259116600
ALABAMA,1661375250
RHODE ISLAND,4428000
TEXAS,9636883700.2
VERMONT,86619050
SOUTH DAKOTA,521443170
IOWA,872304240
OKLAHOMA,2158775460
GEORGIA,1272427340
MINNESOTA,1983537270.6
ARIZONA,420560700.1
NEW YORK,1293908670
MASSACHUSETTS,246543590
INDIANA,426914710
SOUTH CAROLINA,326969070
OHIO,1125410300
NEVADA,157849600.64
MAINE,415037800
COLORADO,897163900.12
PENNSYLVANIA,1457788900.1
GUAM,640144000
KANSAS,842499250
FLORIDA,4094332470
KENTUCKY,1414194000.22
ILLINOIS,879275480
CALIFORNIA,2198782300.33
PUERTO RICO,1823197500
NORTH DAKOTA,1058946803.25
UTAH,1005699400
DELAWARE,130823000
WASHINGTON,269461300
HAWAII,118994000
DISTRICT OF COLUMBIA,343063500
NEW HAMPSHIRE,108299170
IDAHO,168185700
